post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link,Date,Time
1.02E+16,"The NFL is modifying its 2020 draft ceremony to a TV-only event amid coronavirus concerns. See how else the pandemic is changing life in the U.S.
https://nyti.ms/2UbOq7a
NYTIMES.COM
Coronavirus in the U.S.: NFL Cancels Public Portion of Draft","The NFL is modifying its 2020 draft ceremony to a TV-only event amid coronavirus concerns. See how else the pandemic is changing life in the U.S.
https://nyti.ms/2UbOq7a","NYTIMES.COM
Coronavirus in the U.S.: NFL Cancels Public Portion of Draft",16-03-2020 21:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQDDbC4BXbrndTSX&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F16%2Fmultimedia%2Flive-blog-coronavirus-usa-03-16-header-school%2Fmerlin_170567538_16556963-a30d-4d91-bdc9-608c4394e77e-articleLarge.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQDP3LzzQQTS7dcJ,35,9,3,https://m.facebook.com/story.php?story_fbid=10152231973399999&id=5281959998,https://nyti.ms/2UbOq7a,16-03-2020,21:25:08
1.02E+16,"Microsoft's executives, with headquarters just a few miles from one of the United States’ worst coronavirus outbreaks, were among the first to confront the impact.
NYTIMES.COM
Ahead of the Pack, How Microsoft Told Workers to Stay Home","Microsoft's executives, with headquarters just a few miles from one of the United States’ worst coronavirus outbreaks, were among the first to confront the impact.","NYTIMES.COM
Ahead of the Pack, How Microsoft Told Workers to Stay Home",16-03-2020 21:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBaOC_wTy6CEBrN&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fbusiness%2F15microsoft%2F15microsoft-facebookJumbo-v3.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQCq-ANb0bseudL_,87,9,12,https://m.facebook.com/story.php?story_fbid=10152231973379999&id=5281959998,https://nyti.ms/3cWv9PH,16-03-2020,21:25:08
1.02E+16,"David Simon has translated Philip Roth’s 2004 alternate history “The Plot Against America” into an HBO mini-series. It's Simon’s first literary adaptation, and it premieres today.
NYTIMES.COM
‘The Plot Against America’ Imagines the Rise of an Intolerant Demagogue","David Simon has translated Philip Roth’s 2004 alternate history “The Plot Against America” into an HBO mini-series. It's Simon’s first literary adaptation, and it premieres today.","NYTIMES.COM
‘The Plot Against America’ Imagines the Rise of an Intolerant Demagogue",16-03-2020 20:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQCIDXbYT4D-4zYQ&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F08%2Farts%2F08PLOT10%2F08PLOT10-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQDmjUt5HnOiTNLa,312,56,90,https://m.facebook.com/story.php?story_fbid=10152231944829999&id=5281959998,https://nyti.ms/3cTcyUm,16-03-2020,20:55:05
1.02E+16,"In The New York Times Opinion Section, Here’s what our columnists and contributors thought about Sunday's Democratic debate.
NYTIMES.COM
Opinion | Winners and Losers of the Democratic Debate","In The New York Times Opinion Section, Here’s what our columnists and contributors thought about Sunday's Democratic debate.","NYTIMES.COM
Opinion | Winners and Losers of the Democratic Debate",16-03-2020 20:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBrbqf1Ic1DMuCo&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F16%2Fus%2Fdemocratic-debate-winners-losers-promo-1584337013932%2Fdemocratic-debate-winners-losers-promo-1584337013932-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1049&sh=549&ext=jpg&_nc_hash=AQA7qu_ly1Ee0qJe,179,134,14,https://m.facebook.com/story.php?story_fbid=10152231912929999&id=5281959998,https://nyti.ms/2TWQTUd,16-03-2020,20:25:04
1.02E+16,"Andrew Gillum, the former Tallahassee mayor who was the Democratic nominee for governor of Florida in 2018, announced that he is going into rehab.
NYTIMES.COM
Andrew Gillum, Who Ran for Florida Governor, Is Entering Rehab","Andrew Gillum, the former Tallahassee mayor who was the Democratic nominee for governor of Florida in 2018, announced that he is going into rehab.","NYTIMES.COM
Andrew Gillum, Who Ran for Florida Governor, Is Entering Rehab",16-03-2020 19:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQAaG99LPln_kjq7&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2F15GILLUM%2F15GILLUM-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQDB7C4mYxmoecmt,522,236,80,https://m.facebook.com/story.php?story_fbid=10152231880309999&id=5281959998,https://nyti.ms/2QfVhLy,16-03-2020,19:55:08
1.02E+16,"News Analysis: Politics happens in person, traditionally. Now candidates are ""campaigning in the era of coronavirus.""
NYTIMES.COM
The 2020 Campaign Is Over. The Coronavirus Campaign Just Started.","News Analysis: Politics happens in person, traditionally. Now candidates are ""campaigning in the era of coronavirus.""","NYTIMES.COM
The 2020 Campaign Is Over. The Coronavirus Campaign Just Started.",16-03-2020 19:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQCcVAuhGIZ6ilJm&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15campaign-memo%2Fmerlin_170488584_d531d6bd-5cd3-4629-8af2-41aa9815eb94-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQBpUtKGrWw0RqFT,205,83,35,https://m.facebook.com/story.php?story_fbid=10152231849919999&id=5281959998,https://nyti.ms/2vl54IW,16-03-2020,19:25:08
1.02E+16,"Breaking News: Trading was halted as U.S. stocks dropped 8% at the open, after an extraordinary move by the Fed failed to prevent more investor panic.
NYTIMES.COM
Wall Street Tumbles Despite the Fed’s Support: Live Updates","Breaking News: Trading was halted as U.S. stocks dropped 8% at the open, after an extraordinary move by the Fed failed to prevent more investor panic.","NYTIMES.COM
Wall Street Tumbles Despite the Fed’s Support: Live Updates",16-03-2020 19:12,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQDjLM0Vd2N3BMVk&w=476&h=249&url=https%3A%2F%2Fwww.nytimes.com%2Fnewsgraphics%2F2020%2F03%2F04%2Fcorona-virus-social-images%2Fassets%2Fpromo.jpg%3Fu%3D1584366002928&cfs=1&jq=75&ext=jpg&_nc_hash=AQBYRWxL-3RrxjCL,283,126,166,https://m.facebook.com/story.php?story_fbid=10152231836429999&id=5281959998,https://nyti.ms/2IMTucV,16-03-2020,19:12:38
1.02E+16,"Here's what we know about the other factors Joe Biden will consider — plus some of the names already in the mix.
NYTIMES.COM
Joe Biden Says He Would Choose a Woman as His Running Mate. But Who?",Here's what we know about the other factors Joe Biden will consider — plus some of the names already in the mix.,"NYTIMES.COM
Joe Biden Says He Would Choose a Woman as His Running Mate. But Who?",16-03-2020 18:55,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQBCihi2AeFcOfI_&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F15%2Fus%2Fpolitics%2F15bidenveep%2F15bidenveep-facebookJumbo.jpg&cfs=1&jq=75&sx=0&sy=0&sw=1050&sh=549&ext=jpg&_nc_hash=AQBSH0FsN_hVB3xo,798,470,41,https://m.facebook.com/story.php?story_fbid=10152231816884999&id=5281959998,https://nyti.ms/2WfJQr6,16-03-2020,18:55:20
1.02E+16,"Hollywood may have just had its worst weekend since ticketing data started to be independently compiled in the 1980s.
NYTIMES.COM
Movie Ticket Sales Fall to Historic Low",Hollywood may have just had its worst weekend since ticketing data started to be independently compiled in the 1980s.,"NYTIMES.COM
Movie Ticket Sales Fall to Historic Low",16-03-2020 18:25,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQDSFVNlRzv4P0mE&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F13%2Farts%2Fbloodshot1%2Fbloodshot1-facebookJumbo.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQCh_MEyj3fkpNJH,185,70,72,https://m.facebook.com/story.php?story_fbid=10152231790129999&id=5281959998,https://nyti.ms/2TUS9XL,16-03-2020,18:25:04
1.02E+16,"Israel has moved to tap into a vast, previously undisclosed trove of cellphone data to retrace the movements of people who have contracted the coronavirus and identify others who should be quarantined because their paths crossed, officials said.
NYTIMES.COM
To Track Coronavirus, Israel Moves to Tap Secret Trove of Cellphone Data","Israel has moved to tap into a vast, previously undisclosed trove of cellphone data to retrace the movements of people who have contracted the coronavirus and identify others who should be quarantined because their paths crossed, officials said.","NYTIMES.COM
To Track Coronavirus, Israel Moves to Tap Secret Trove of Cellphone Data",16-03-2020 18:10,https://external.fstv6-1.fna.fbcdn.net/safe_image.php?d=AQCrSFqu4VKOKXIo&w=476&h=249&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2020%2F03%2F16%2Fworld%2F16israel01%2F16israel01-facebookJumbo-v2.jpg&cfs=1&jq=75&ext=jpg&_nc_hash=AQAPM-IkmnlScDSZ,303,65,220,https://m.facebook.com/story.php?story_fbid=10152231775049999&id=5281959998,https://nyti.ms/3d4Ptyo,16-03-2020,18:10:08
